profile_id,sub_profile_type,service_ids_json,houseKeepingCaregiverProfile_approvalStatus,houseKeepingCaregiverProfile_availabilityFrequency,houseKeepingCaregiverProfile_bio_experienceSummary,houseKeepingCaregiverProfile_bio_title,houseKeepingCaregiverProfile_bio_flags_json,houseKeepingCaregiverProfile_distanceWillingToTravel,houseKeepingCaregiverProfile_id,houseKeepingCaregiverProfile_otherQualities_json,houseKeepingCaregiverProfile_payRange_hourlyRateFrom,houseKeepingCaregiverProfile_payRange_hourlyRateTo,houseKeepingCaregiverProfile_payRange_flags_json,houseKeepingCaregiverProfile_qualities_flags_json,houseKeepingCaregiverProfile_recurringRate_hourlyRateFrom,houseKeepingCaregiverProfile_recurringRate_hourlyRateTo,houseKeepingCaregiverProfile_recurringRate_flags_json,houseKeepingCaregiverProfile_schedule_json,houseKeepingCaregiverProfile_supportedServices_flags_json,houseKeepingCaregiverProfile_yearsOfExperience
000331d9-4890-44d1-b81b-8a6de800d5fa,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""TUTORING""]",APPROVED,PART_TIME,"Polite and accommodating, bringing numerous years of experience in the caregiving. Sincere and helpful when working with families to promote satisfaction and loyalty. Knowledgeable about handling situations and activities with the little ones.

Skilled and successful at solving daily issues with an efficient and professional attitude. Demonstrated adapting to changing demands and learn new information quickly. Skilled in providing overtime hours coverage when needed. Goal-oriented eager to improve families satisfaction. Proficient in managing household functions. Excel in fast-paced environments with a hardworking mindset.

Attentive, lovingly committed to thoroughly listening to families requests or concerns and addressing with prompt responses. Dependable and punctual, commended for consistently arriving to work on time.

Positive and upbeat, successful at balancing..",,[],,33551875,[],"{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '35', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '35', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""changingBedLinens"", ""laundry""]",10.0
0033734b-bccc-4d35-94f6-e79abc15cf52,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",APPROVED,FULL_TIME,"Hi! My name is Laila, I'm 21 years old, and I'm currently attending Hofstra University to get my bachelors in sociology!

I'm looking for summer jobs that include housekeeping, I'm open to helping anyone and will be be very enthusiastic with every opportunity given. I understand life can be stressful and that can leave things like housekeeping at a minimum. I'm willing to make your life easier and make sure to reduce that stress by coming home to a clean environment!

Don't hesitate to reach out whether it be about the pay or simply getting to know me better, I hope you enjoy the rest of your day! :)",,[],,34719463,[],"{'amount': '17', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '18', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '17', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '18', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""carpetCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry"", ""organization"", ""windowWashing""]",1.0
003927fa-44ae-4932-b756-06f1dbc7efea,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",APPROVED,PART_TIME,"I have worked in general cleaning of occupied houses, including all interior areas of the house. I have also done deep cleaning of bathrooms and kitchen. Deep cleaning of unoccupied houses for rent or sale. I do superficial or detailed work according to requirements. I have good communication, I am attentive to details and alert to comments for continuous improvement. I do my job with dedication and care.",,[],,35290251,[],"{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""doesNotSmoke""]","{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry"", ""organization""]",2.0
004d5076-4fc4-4800-85b0-c84e3b63c963,houseKeepingCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE""]",APPROVED,PART_TIME,For the past four years I have had experience with cleaning high end private homes in Oyster bay and I also have experience cleaning larger facility such as a gym,,[],,34358195,[],"{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke"", ""ownTransportation""]","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry""]",5.0
00777d9e-ed9a-48c3-b092-0e01da1f8faa,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hello, I'm Lulu! I am here to make your summer stress-free and ensure your home is as well kept as possible. I am efficient in completing tasks, reliable and communicative. With a keen eye for cleanliness and organization, I can provide you with excellent cleaning services. This summer, give yourself the gift of a beautifully clean home without lifting a finger. Available until August 16th.",,[],,34580813,[],"{'amount': '18', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '18', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry"", ""organization"", ""windowWashing""]",0.0
008d9f4d-3cd5-4555-98f2-7bd8a8ae720d,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",APPROVED,PART_TIME,"Hello! I provide basic cleaning, deep cleaning bathroom bedroom kitchen, organization, laundry as well as folding",,[],,35324240,[],"{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry"", ""organization""]",2.0
00b43e2e-9314-4943-a34d-da654757f92b,houseKeepingCaregiverProfile,"[""HOUSEKEEPING""]",APPROVED,PART_TIME,"Hi, my name is Stephania. Please reach out to me if my qualifications align with what you are looking for.

Highly detailed private housekeeper with over 7 years of experience in the hospitality industry and household management. Proficient in light cooking, cleaning, organization, assistant tasks, and some childcare. Dedicated to delivering top-quality housekeeping services in family residences. Skilled in fostering long-term relationships with employers and collaborating with heads of household to define and exceed housekeeping expectations.",,[],,32428274,[],"{'amount': '28', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '28', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""basementCleaning"", ""bathroomCleaning"", ""cabinetCleaning"", ""changingBedLinens"", ""dusting"", ""generalRoomCleaning"", ""kitchenCleaning"", ""moveOutCleaning"", ""petWasteCleanup"", ""refrigeratorCleaning"", ""vacuumingOrMopping"", ""windowWashing""]",6.0
00c57aa2-7e71-45c1-8934-973cd5037e44,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",APPROVED,PART_TIME,"I am a warm hearted and energetic nanny/housekeeper looking to both help you care for your loved ones, and help around the house as well. I have experience as a tutor (and have my College degree) and would love to help your child with school work. I am open to doing laundry, food prep, tidying the house, and organizing as well. work with. I've worked closely with 3 different families over the years with childcare and housekeeping.",,[],,28329701,[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke"", ""ownTransportation""]","{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""cabinetCleaning"", ""changingBedLinens"", ""dusting"", ""generalRoomCleaning"", ""kitchenCleaning"", ""petWasteCleanup"", ""refrigeratorCleaning"", ""vacuumingOrMopping""]",0.0
00fbee64-3a81-4c08-8d39-8c6ed7de63dd,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",APPROVED,PART_TIME,"I am an experienced in housekeeping. I have gained my housekeeping experience while working as a babysitter. While taking care of children I also performed housekeeping tasks such as; cleaning, dusting, doing the laundry, mopping etc.. If you want your home to shine and always be clean, I am hier to clean your home as if it were mine, with love and dedication.",,[],,34860103,[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning"", ""laundry""]",3.0
0108873a-d2a8-460c-bae8-2f0307f0b93b,houseKeepingCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"I'm Gabriella, a dedicated and detail-oriented housekeeper with a strong commitment to maintaining a clean and organized environment. With two years of experience in residential cleaning and household management, I excel in creating tidy, welcoming spaces through meticulous attention to detail and efficiency.
Fluent in Italian, Spanish, and English, I can easily communicate with diverse families and understand their specific needs and preferences. My skills include thorough cleaning, organizing and basic meal preparation. I'm also adept at managing household supplies and maintaining an orderly home.
My approach combines reliability, discretion, and a proactive attitude, ensuring that every task is completed to the highest standard. I am eager to contribute my expertise and help create a comfortable and well-maintained living environment for your family.",,[],,35316089,[],"{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}",[],[],"[""bathroomCleaning"", ""changingBedLinens"", ""generalRoomCleaning"", ""kitchenCleaning""]",2.0
