profile_id,zip_code,sub_profile_type,service_ids_json,tutoringCaregiverProfile_approvalStatus,tutoringCaregiverProfile_availabilityFrequency,tutoringCaregiverProfile_bio_experienceSummary,tutoringCaregiverProfile_bio_title,tutoringCaregiverProfile_bio_flags_json,tutoringCaregiverProfile_id,tutoringCaregiverProfile_otherGeneralSubjects_json,tutoringCaregiverProfile_otherQualities_json,tutoringCaregiverProfile_payRange_hourlyRateFrom,tutoringCaregiverProfile_payRange_hourlyRateTo,tutoringCaregiverProfile_payRange_flags_json,tutoringCaregiverProfile_qualities_additionalDetails,tutoringCaregiverProfile_qualities_professionalSkills,tutoringCaregiverProfile_qualities_flags_json,tutoringCaregiverProfile_supportedServices_flags_json,tutoringCaregiverProfile_specificSubjects_json,tutoringCaregiverProfile_otherSpecificSubject,tutoringCaregiverProfile_yearsOfExperience
023f2550-44c5-4395-8ac2-bbac8e709927,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""TUTORING""]",APPROVED,PART_TIME,"I love seeing a child understand a new thing. They smile and get excited because now that they know the new learning, they can apply it. I enjoy helping children acquire that. Tutoring does not just help children for their now but their future learning experiences as well. I believe that with my passion for assisting children that I can help children build their knowledge.",,[],15075238,"[""Computers"", ""English"", ""Math"", ""Science"", ""Dance""]",[],"{'amount': '15', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],[],"[""MATH_SUBJECT_ALGEBRA"", ""MATH_SUBJECT_ELEMENTARY_SCHOOL_MATH"", ""MATH_SUBJECT_GEOMETRY"", ""MATH_SUBJECT_MIDDLE_SCHOOL_MATH"", ""MATH_SUBJECT_PRE_CALCULUS"", ""ENGLISH_SUBJECT_GRAMMAR"", ""ENGLISH_SUBJECT_LANGUAGE_ARTS_K6"", ""ENGLISH_SUBJECT_LITERATURE"", ""ENGLISH_SUBJECT_READING"", ""ENGLISH_SUBJECT_WRITING"", ""SCIENCE_SUBJECT_CHEMISTRY"", ""SCIENCE_SUBJECT_ELEMENTARY_SCIENCE"", ""SCIENCE_SUBJECT_PSYCHOLOGY"", ""COMPUTERS_SUBJECT_COMPUTER_BASICS"", ""COMPUTERS_SUBJECT_BASIC"", ""COMPUTERS_SUBJECT_MICROSOFT_EXCEL"", ""COMPUTERS_SUBJECT_MACINTOSH"", ""COMPUTERS_SUBJECT_MICROSOFT_WORD"", ""COMPUTERS_SUBJECT_MICROSOFT_OFFICE"", ""COMPUTERS_SUBJECT_MICROSOFT_WINDOWS"", ""COMPUTERS_SUBJECT_OUTLOOK"", ""COMPUTERS_SUBJECT_MICROSOFT_POWERPOINT"", ""COMPUTERS_SUBJECT_WINDOWS"", ""COMPUTERS_SUBJECT_COMPUTER_SCIENCE"", ""DANCE_SUBJECT_HIP_HOP""]",,1
06b5764b-d72a-4964-9cf4-7004d6bec359,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hello, I'm Math teacher by Education and training. I'm licensed by the State of New York Education Department as a Registered Business School Teacher.
I tutored my 4 children through their time in Elementary and High Schools. I also did SAT prep with them.
 Any grade level is welcome!",,[],25232796,"[""Math""]","[""I can explain the subject matter simple. I'm very patient"", ""work within student's pace. I encourage student to not fear math"", ""since it is around us and we deal with real life math on a daily basis.""]","{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '35', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome"", ""tutorsInTeachersHome""]","[""MATH_SUBJECT_ALGEBRA"", ""MATH_SUBJECT_ELEMENTARY_SCHOOL_MATH"", ""MATH_SUBJECT_MIDDLE_SCHOOL_MATH""]",,10
083509ad-5a1d-44c7-8cde-04119caadd39,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"I'd describe my personality as empathetic, fun and friendly 

I like tutoring because I will love to other learn every I can know and even more",,[],35608558,[],[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],[],[],,1
08ade49a-f852-4461-96ca-6f1eab477e9e,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,FULL_TIME,Friendly loving teacher looking for summer employment. College graduate and currently working on masters degree in Early childhood education!,,[],34848433,"[""English"", ""Math"", ""Dance"", ""Musical Instruments"", ""Music And Drama""]",[],"{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,4
0a716993-d380-4567-a31b-5161d17d67a7,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hello! I am a Grad Student in an Epidemiology program. I have taken college level courses in 2 English classes, college level math in Statistics and Biostatistics and college level Science and History. I also work as a Teacher Assistant in a school for Special Education and have worked with students of several different ages. I have my Sub Certification as a Teacher and I have been a paid tutor for several years. Any more questions please message me :)",,[],27122224,"[""English"", ""Math"", ""Science"", ""Special Education"", ""Test Prep""]",[],"{'amount': '22', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '33', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome"", ""tutorsOnline""]",[],,3
0a748202-08d6-47a8-b2f7-8568b88274a4,07008,tutoringCaregiverProfile,"[""HOUSEKEEPING"", ""TUTORING""]",APPROVED,PART_TIME,"-Background-

Stanford BS in Electrical Engineering and MS in computer science. Ex-McKinsey Senior Business Analyst. 

-Courses I have taught-

Algebra 1 (public high school), Calculus 2 (MITES program @ MIT)

-AP course experience (tutored and personally scored 5 on test)-

Calculus AB/BC, Physics 1/Mech, Biology, English Lit/Language, Environmental Science, Human Geography, Psychology, US History, US Gov, Chemistry, European History, Microeconomics

-College Essay help-


-Academic competitions (tutoring, coaching, mentoring)-

Science Olympiad (balsa building, biology, meteorology, fermi questions)

Geography Bee

-about me-

I'm originally from Fargo. When I'm not teaching, I'm often teaching myself new subjects for fun",,[],34113483,"[""Science""]",[],"{'amount': '17', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '22', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome""]",[],,1
0bdf3783-479c-4b10-869c-18763ce58106,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE"", ""TUTORING""]",INACTIVE,FULL_TIME,"I have 4 years of experience tutoring grade school and high school students in subject areas of English and American Literature, English Grammar and Composition, and World and American History as well. Furthermore, I home-schooled my only son from 10th to 12th grade and helped him prepare for the SAT and Regents tests both of which he eventually passed.",,[],3470155,"[""Computers"", ""English"", ""Science"", ""Test Prep""]",[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome"", ""tutorsOnline""]","[""ENGLISH_SUBJECT_ESL"", ""ENGLISH_SUBJECT_GRAMMAR"", ""ENGLISH_SUBJECT_LANGUAGE_ARTS_K6"", ""ENGLISH_SUBJECT_LITERATURE"", ""ENGLISH_SUBJECT_READING"", ""ENGLISH_SUBJECT_WRITING"", ""SCIENCE_SUBJECT_BIOLOGY"", ""SCIENCE_SUBJECT_CHEMISTRY"", ""SCIENCE_SUBJECT_EARTH_SCIENCE"", ""SCIENCE_SUBJECT_PSYCHOLOGY"", ""COMPUTERS_SUBJECT_COMPUTER_BASICS"", ""COMPUTERS_SUBJECT_MICROSOFT_EXCEL"", ""COMPUTERS_SUBJECT_MICROSOFT_WORD"", ""COMPUTERS_SUBJECT_MICROSOFT_OFFICE"", ""COMPUTERS_SUBJECT_MICROSOFT_WINDOWS"", ""COMPUTERS_SUBJECT_MICROSOFT_POWERPOINT"", ""COMPUTERS_SUBJECT_PHOTOSHOP"", ""TEST_PREP_SUBJECT_ACT"", ""TEST_PREP_SUBJECT_PSAT_TEST"", ""TEST_PREP_SUBJECT_SAT_VERBAL""]",,3
0d1031d7-6d1c-41e0-9226-e63235c370ef,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"I am certified through grade 3 for early childhood education and through grade 8 for special education. I am happy to work on math, reading, writing, spelling etc. I look forward to hearing from you.",,[],35435549,"[""English"", ""Math"", ""Special Education"", ""Test Prep""]",[],"{'amount': '70', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '100', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': False, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsOnline""]",[],,4
0d251690-82f1-47b2-af26-aa90716e8dd5,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"After 12 years in the classroom, I resigned to spend time home with my young children. I have leadership experience and am formally trained in several math programs, as well as Phonics First. I have all my own materials for all elementary subject areas. I primarily focus on K-2 but have experience teaching upper elementary as well.",,[],30081858,"[""English"", ""Math"", ""Science"", ""Art""]",[],"{'amount': '60', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '100', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,10
0e757857-1db9-42b4-a553-a83fa9f5c50f,07008,tutoringCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"I have great experience working with children since my early 20's. This experience includes being a nanny and a respite worker. 
I started a position this past year working part time in an afterschool program for children. I co - teach crafts and science classes.
I have taught myself to tutor children and have used my art skills in this process.
I look forward to hear from you.",,[],28067298,"[""English"", ""Special Education"", ""Art""]",[],"{'amount': '26', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '31', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': False, 'isComfortableWithPets': True, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]","[""ART_SUBJECT_ART_HISTORY"", ""ART_SUBJECT_DRAWING"", ""ART_SUBJECT_PAINTING"", ""MUSICAL_INSTRUMENTS_SUBJECT_KEYBOARD"", ""SPECIAL_EDUCATION_SUBJECT_ADD_ADHD"", ""SPECIAL_EDUCATION_SUBJECT_EMOTIONAL_BEHAVIOR"", ""SPECIAL_EDUCATION_SUBJECT_LEARNING_DISABLED""]",,0
